SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #5414,Chicago,IL,60613,229000,1,1.0,CHI - Lake View,849,,1977,86,270,874,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-5414/home/12675459,MRED,11155430,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1903,Chicago,IL,60613,200000,1,1.0,CHI - Lake View,790,,1973,92,253,539,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1903/home/12666481,MRED,11149697,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #3302,Chicago,IL,60657,340000,2,2.0,CHI - Lake View,1200,,1973,92,283,1184,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-3302/home/12683325,MRED,11149163,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1208,Chicago,IL,60613,169000,1,1.0,CHI - Lake View,786,,1973,92,215,675,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1208/home/12668457,MRED,11147788,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4114 N Kenmore Ave Unit GS,Chicago,IL,60613,350000,2,2.0,CHI - Uptown,1400,,1997,92,250,175,Active,,,http://www.redfin.com/IL/Chicago/4114-N-Kenmore-Ave-60613/unit-GS/home/12774579,MRED,11148709,N,Y,41.9569959,-87.656548
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2008,Chicago,IL,60613,179000,1,1.0,Park Place Tower,786,,1973,93,228,578,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2008/home/12729931,MRED,11147748,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1404,Chicago,IL,60613,198000,1,1.0,Park Place Tower,840,,1973,94,236,625,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1404/home/12717877,MRED,11146238,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3758 N Fremont St #2,Chicago,IL,60613,474900,2,2.0,CHI - Lake View,1400,,,94,339,151,Active,,,http://www.redfin.com/IL/Chicago/3758-N-Fremont-St-60613/unit-2/home/13383007,MRED,11145562,N,Y,41.9507862,-87.6523687
MLS Listing,,Condo/Co-op,644 W Sheridan Rd #1,Chicago,IL,60613,749900,3,2.5,CHI - Lake View,2000,,1913,95,375,483,Active,,,http://www.redfin.com/IL/Chicago/644-W-Sheridan-Rd-60613/unit-1/home/175596149,MRED,11144758,N,Y,41.953264,-87.646621
MLS Listing,,Condo/Co-op,700 W Bittersweet Pl #910,Chicago,IL,60613,116800,1,1.0,CHI - Uptown,800,,1951,97,146,492,Active,,,http://www.redfin.com/IL/Chicago/700-W-Bittersweet-Pl-60613/unit-910/home/13394915,MRED,11144316,N,Y,41.9558616,-87.6474346
