Date,LMP,HUB
10/25/2018 7:00:00 PM,41.4,MICHIGAN.HUB
10/25/2018 7:00:00 PM,36.92,MINN.HUB
10/25/2018 7:00:00 PM,34.04,ARKANSAS.HUB
10/25/2018 7:00:00 PM,35.43,LOUISIANA.HUB
10/25/2018 7:00:00 PM,35.29,MS.HUB
10/25/2018 7:00:00 PM,34.7,TEXAS.HUB
10/25/2018 8:00:00 PM,34.25,ILLINOIS.HUB
10/25/2018 8:00:00 PM,35.77,INDIANA.HUB
10/25/2018 8:00:00 PM,36.81,MICHIGAN.HUB
10/25/2018 8:00:00 PM,33.66,MINN.HUB
10/25/2018 8:00:00 PM,32.84,ARKANSAS.HUB
10/25/2018 8:00:00 PM,33.71,LOUISIANA.HUB
10/25/2018 8:00:00 PM,33.49,MS.HUB
10/25/2018 8:00:00 PM,33.2,TEXAS.HUB
10/25/2018 9:00:00 PM,32.45,ILLINOIS.HUB
10/25/2018 9:00:00 PM,34.02,INDIANA.HUB
10/25/2018 9:00:00 PM,35.09,MICHIGAN.HUB
10/25/2018 9:00:00 PM,30.68,MINN.HUB
10/25/2018 9:00:00 PM,27.95,ARKANSAS.HUB
10/25/2018 9:00:00 PM,29.94,LOUISIANA.HUB
10/25/2018 9:00:00 PM,30.02,MS.HUB
10/25/2018 9:00:00 PM,29.12,TEXAS.HUB
10/25/2018 10:00:00 PM,24.4,ARKANSAS.HUB
10/25/2018 10:00:00 PM,25.61,ILLINOIS.HUB
10/25/2018 10:00:00 PM,26.72,INDIANA.HUB
10/25/2018 10:00:00 PM,25.09,LOUISIANA.HUB
10/25/2018 10:00:00 PM,27.75,MICHIGAN.HUB
10/25/2018 10:00:00 PM,24.85,MINN.HUB
10/25/2018 10:00:00 PM,24.89,MS.HUB
10/25/2018 10:00:00 PM,25.09,TEXAS.HUB
10/26/2018 10:00:00 PM,24.4,ARKANSAS.HUB
10/26/2018 10:00:00 PM,25.61,ILLINOIS.HUB
10/26/2018 10:00:00 PM,26.72,INDIANA.HUB
10/26/2018 10:00:00 PM,25.09,LOUISIANA.HUB
10/26/2018 10:00:00 PM,27.75,MICHIGAN.HUB
10/26/2018 10:00:00 PM,24.85,MINN.HUB
10/26/2018 10:00:00 PM,24.89,MS.HUB
10/26/2018 10:00:00 PM,25.09,TEXAS.HUB
10/26/2018 11:00:00 PM,23.28,ARKANSAS.HUB
10/26/2018 11:00:00 PM,24.56,ILLINOIS.HUB
10/26/2018 11:00:00 PM,25.27,INDIANA.HUB
10/26/2018 11:00:00 PM,23.74,LOUISIANA.HUB
10/26/2018 11:00:00 PM,25.99,MICHIGAN.HUB
10/26/2018 11:00:00 PM,24.19,MINN.HUB
10/26/2018 11:00:00 PM,23.62,MS.HUB
10/26/2018 11:00:00 PM,19.78,TEXAS.HUB
10/27/2018 12:00:00 AM,23.21,ARKANSAS.HUB
10/27/2018 12:00:00 AM,28.31,ILLINOIS.HUB
10/27/2018 12:00:00 AM,29.2,INDIANA.HUB
10/27/2018 12:00:00 AM,23.57,LOUISIANA.HUB
10/27/2018 12:00:00 AM,30.05,MICHIGAN.HUB
10/27/2018 12:00:00 AM,28.31,MINN.HUB
10/27/2018 12:00:00 AM,23.51,MS.HUB
10/27/2018 12:00:00 AM,-8.72,TEXAS.HUB
10/27/2018 1:00:00 AM,23.21,ARKANSAS.HUB
10/27/2018 1:00:00 AM,33.37,ILLINOIS.HUB
10/27/2018 1:00:00 AM,34.4,INDIANA.HUB
10/27/2018 1:00:00 AM,23.57,LOUISIANA.HUB
10/27/2018 1:00:00 AM,35.39,MICHIGAN.HUB
10/27/2018 1:00:00 AM,33.13,MINN.HUB
10/27/2018 1:00:00 AM,23.48,MS.HUB
10/27/2018 1:00:00 AM,23.39,TEXAS.HUB
10/27/2018 2:00:00 AM,22.68,ARKANSAS.HUB
10/27/2018 2:00:00 AM,27.46,ILLINOIS.HUB
10/27/2018 2:00:00 AM,28.3,INDIANA.HUB
10/27/2018 2:00:00 AM,22.99,LOUISIANA.HUB
10/27/2018 2:00:00 AM,29.12,MICHIGAN.HUB
10/27/2018 2:00:00 AM,27.11,MINN.HUB
10/27/2018 2:00:00 AM,22.91,MS.HUB
10/27/2018 2:00:00 AM,22.87,TEXAS.HUB
10/27/2018 3:00:00 AM,22.36,ARKANSAS.HUB
10/27/2018 3:00:00 AM,25.93,ILLINOIS.HUB
10/27/2018 3:00:00 AM,26.8,INDIANA.HUB
10/27/2018 3:00:00 AM,22.69,LOUISIANA.HUB
10/27/2018 3:00:00 AM,27.57,MICHIGAN.HUB
10/27/2018 3:00:00 AM,25.51,MINN.HUB
10/27/2018 3:00:00 AM,22.62,MS.HUB
10/27/2018 3:00:00 AM,22.58,TEXAS.HUB
10/27/2018 4:00:00 AM,22.33,ARKANSAS.HUB
10/27/2018 4:00:00 AM,26.4,ILLINOIS.HUB
10/27/2018 4:00:00 AM,27.35,INDIANA.HUB
10/27/2018 4:00:00 AM,22.64,LOUISIANA.HUB
10/27/2018 4:00:00 AM,28.11,MICHIGAN.HUB
10/27/2018 4:00:00 AM,25.92,MINN.HUB
10/27/2018 4:00:00 AM,22.59,MS.HUB
10/27/2018 4:00:00 AM,22.56,TEXAS.HUB
10/27/2018 5:00:00 AM,22.74,ARKANSAS.HUB
10/27/2018 5:00:00 AM,30.64,ILLINOIS.HUB
10/27/2018 5:00:00 AM,31.77,INDIANA.HUB
10/27/2018 5:00:00 AM,23.09,LOUISIANA.HUB
10/27/2018 5:00:00 AM,32.7,MICHIGAN.HUB
10/27/2018 5:00:00 AM,30.01,MINN.HUB
10/27/2018 5:00:00 AM,23.03,MS.HUB
10/27/2018 5:00:00 AM,23.04,TEXAS.HUB
10/27/2018 6:00:00 AM,26.81,ARKANSAS.HUB
10/27/2018 6:00:00 AM,32.72,ILLINOIS.HUB
10/27/2018 6:00:00 AM,33.91,INDIANA.HUB
10/27/2018 6:00:00 AM,27.29,LOUISIANA.HUB
